Circuit name,Transfection group,Contents,Concentration (ng/uL),DNA wanted (ng)
Check_A1,X1,mNeonGreen,50,200
Check_A1,X2,mKO2,50,100
Check_A2,X1,CasE,50,150
Check_A2,X1,eBFP2,50,100
Check_A2,X2,CasE_rec_mNeonGreen,50,200
Check_A2,X2,mKO2,50,100
Check_A3,X1,mNeonGreen,50,200
Check_A3,X2,mKO2,50,100
Check_A4,X1,CasE,50,150
Check_A4,X1,eBFP2,50,100
Check_A4,X2,CasE_rec_mNeonGreen,50,200
Check_A4,X2,mKO2,50,100
Check_A5,X1,mNeonGreen,50,200
Check_A5,X2,mKO2,50,100
Check_A6,X1,CasE,50,150
Check_A6,X1,eBFP2,50,100
Check_A6,X2,CasE_rec_mNeonGreen,50,200
Check_A6,X2,mKO2,50,100
Check_B1,X1,CasE,50,150
Check_B1,X1,eBFP2,50,100
Check_B1,X2,CasE_rec_mNeonGreen,50,200
Check_B1,X2,mKO2,50,100
Check_B2,X1,mNeonGreen,50,200
Check_B2,X2,mKO2,50,100
Check_B3,X1,CasE,50,150
Check_B3,X1,eBFP2,50,100
Check_B3,X2,CasE_rec_mNeonGreen,50,200
Check_B3,X2,mKO2,50,100
Check_B4,X1,mNeonGreen,50,200
Check_B4,X2,mKO2,50,100
Check_B5,X1,CasE,50,150
Check_B5,X1,eBFP2,50,100
Check_B5,X2,CasE_rec_mNeonGreen,50,200
Check_B5,X2,mKO2,50,100
Check_B6,X1,mNeonGreen,50,200
Check_B6,X2,mKO2,50,100
